CASEID,hunt_fish,scientists,education,ideology,urbanrural
203090,0,100,2,4,small town
203106,0,100,8,4,suburb
203113,1,100,3,7,city
203137,1,60,3,6,suburb
203144,0,100,6,2,small town
203151,0,80,5,4,suburb
203168,0,50,3,2,city
203175,,,5,3,
203182,0,85,1,3,small town
203199,0,100,6,2,city
203205,,,2,,
203212,0,100,6,4,small town
203229,0,40,6,7,small town
203236,1,100,3,4,rural
203243,0,60,4,6,suburb
203267,0,100,6,2,city
203281,0,100,,5,suburb
203298,1,85,7,4,rural
203304,,,7,3,
203311,0,70,2,,city
203328,0,100,7,2,city
203335,,,1,,
203342,0,60,4,4,city
203359,1,85,4,6,small town
203366,0,70,7,6,suburb
203380,1,70,7,7,city
203397,0,100,6,1,suburb
203403,0,70,2,4,suburb
203410,0,85,3,2,city
203427,0,100,6,2,suburb
203434,1,85,8,5,small town
203441,0,100,5,2,city
203458,0,15,1,,city
203472,0,85,6,,small town
203489,0,70,7,6,suburb
203496,0,100,8,4,city
203502,1,50,3,5,small town
203519,0,85,6,4,city
203526,0,85,6,,city
203533,0,60,3,2,city
203540,0,100,6,7,small town
203557,0,100,5,2,city
203564,1,70,3,7,suburb
203588,0,100,6,4,suburb
203595,0,100,8,5,city
203632,1,90,3,3,city
203649,0,80,7,2,rural
203670,0,85,2,4,rural
203687,0,85,3,7,city
203700,0,70,6,6,suburb
203724,0,85,6,6,small town
203731,1,85,7,7,rural
203762,1,100,6,2,suburb
203779,0,40,7,2,city
203786,0,100,7,,city
203793,1,90,3,7,small town
203816,,,4,6,
203823,0,85,6,3,suburb
203830,0,70,6,5,small town
203854,1,80,7,6,suburb
203878,0,60,3,,city
203946,1,100,3,2,suburb
203953,1,100,6,4,city
203960,0,70,2,6,suburb
203977,0,100,3,4,small town
203984,1,50,6,3,suburb
204000,0,30,6,6,rural
204017,0,50,1,,rural
204031,0,50,5,7,small town
204048,1,85,6,,city
204055,0,100,3,,small town
204062,0,95,3,4,suburb
204086,0,100,7,5,suburb
204109,0,95,7,2,small town
204116,0,85,7,3,city
204123,0,85,3,4,city
204130,0,70,2,7,suburb
204147,0,100,6,3,city
204154,0,100,6,2,suburb
204161,0,,3,4,rural
204178,1,70,6,2,city
204185,0,50,7,6,suburb
204192,1,80,6,5,suburb
204208,0,70,6,6,suburb
204222,1,100,6,4,rural
204246,0,90,6,5,small town
204253,0,90,6,5,city
204260,0,85,3,3,city
204277,0,100,7,2,suburb
204284,0,80,2,6,suburb
204291,0,100,2,,small town
204307,0,70,4,7,rural
204321,,,6,,
204338,0,100,3,4,small town
204345,0,85,6,6,city
204352,1,100,3,7,city
204369,1,50,2,,small town
204376,1,50,3,,rural
204383,0,70,5,6,suburb
204390,,100,6,4,suburb
204413,0,85,6,6,suburb
204420,1,100,3,,small town
204437,1,30,7,,small town
204468,,,1,,
204475,0,100,6,2,city
204482,0,85,3,5,small town
204505,0,70,5,6,suburb
204512,0,85,6,2,small town
204529,1,100,7,1,small town
204536,1,100,7,5,suburb
204543,0,100,7,3,city
204550,0,50,3,,city
204567,0,85,3,4,small town
204574,0,85,2,6,city
204581,,,5,,
204598,0,100,7,2,city
204604,0,75,3,6,rural
204611,0,70,2,7,small town
204628,0,60,7,3,suburb
204642,0,100,7,2,suburb
204697,0,90,2,4,small town
204703,1,90,6,4,suburb
204710,0,85,6,4,suburb
204727,0,70,2,3,small town
204734,0,50,6,6,suburb
204741,0,50,1,4,suburb
204758,1,70,3,4,small town
204765,1,75,6,3,suburb
204772,0,60,2,4,small town
204789,0,60,6,6,city
204796,0,100,7,4,rural
204802,,,2,,
204819,0,85,6,6,small town
204833,0,50,8,7,suburb
204840,,,6,3,
204857,0,100,3,3,city
204864,1,100,5,6,rural
204871,0,100,3,6,suburb
204888,0,85,3,4,suburb
204895,0,85,4,5,small town
204901,0,40,3,6,city
204918,0,90,6,2,suburb
204925,0,100,3,5,small town
204932,0,70,6,6,suburb
204949,0,85,2,,small town
204963,0,100,7,5,city
204970,,,6,5,
204987,0,70,6,5,suburb
204994,1,85,6,3,suburb
205003,1,100,2,3,suburb
205010,0,65,2,6,small town
205034,0,100,2,4,suburb
205041,0,85,4,,city
205058,0,95,7,6,rural
205065,1,100,7,3,suburb
205072,0,80,4,2,suburb
205089,0,85,7,3,city
205096,0,70,2,,rural
205102,1,50,2,7,rural
205119,0,100,2,4,rural
205133,0,85,7,4,rural
205140,0,70,3,,small town
205157,0,100,6,4,city
205171,0,95,6,2,suburb
205188,0,100,7,4,suburb
205195,0,85,7,1,city
205201,0,95,8,,suburb
205218,0,50,3,,small town
205249,,,4,,
205256,0,85,2,7,small town
205263,0,50,6,,rural
205287,0,100,6,3,city
205294,0,100,7,3,suburb
205300,0,100,4,2,city
205317,0,75,7,3,city
205324,0,50,6,7,small town
205348,0,80,1,,suburb
205362,0,85,6,3,rural
205379,0,100,3,3,city
205393,1,70,3,1,city
205409,1,100,6,6,suburb
205416,0,60,2,7,small town
205430,0,90,1,2,small town
205447,0,70,3,6,suburb
205454,1,40,3,,small town
205461,0,85,6,6,suburb
205478,0,60,2,6,small town
205485,0,85,3,6,rural
205492,1,100,7,3,rural
205508,0,100,6,2,suburb
205515,0,70,1,5,suburb
205522,0,50,3,,city
205539,0,45,7,4,rural
205546,0,100,6,,city
205553,,,6,7,
205560,0,50,3,5,suburb
205577,0,50,1,7,city
205607,1,100,5,5,suburb
205614,1,70,6,6,small town
205621,0,85,6,3,small town
205638,0,85,7,2,city
205645,0,100,7,4,city
205669,0,100,3,2,small town
205676,,,6,2,
205683,1,100,6,,suburb
205706,0,65,7,,city
205713,,,2,,
205737,1,85,6,4,city
205744,0,85,6,,suburb
205751,,,3,,
205768,,,6,6,
205775,1,,4,6,small town
205782,0,100,3,4,city
205799,1,100,,3,suburb
205812,1,50,2,6,rural
205829,,,3,,
205836,1,50,6,6,small town
205843,0,90,3,5,city
205850,,0,2,7,rural
205867,0,90,5,4,small town
205874,0,60,2,4,rural
205881,1,60,6,7,small town
205898,1,100,3,2,rural
205911,1,85,2,,small town
205928,0,75,6,6,small town
205942,0,85,7,5,city
205959,0,90,3,5,city
205966,0,70,3,,city
205973,0,80,5,6,rural
206006,0,85,3,1,city
206013,0,100,3,,rural
206020,0,50,6,4,small town
206037,0,85,4,6,city
206044,1,68,4,7,small town
206068,0,85,6,7,rural
206075,1,50,1,4,small town
206082,0,50,6,6,small town
206105,0,50,5,6,suburb
206129,0,100,3,,rural
206136,0,100,6,2,city
206143,0,0,2,,city
206150,1,85,2,,
206167,0,0,6,,city
206174,1,100,3,4,small town
206181,1,65,7,6,suburb
206198,0,85,6,4,small town
206204,0,100,8,2,rural
206211,0,60,7,5,suburb
206228,0,100,2,2,suburb
206235,0,70,2,,small town
206242,1,50,7,5,suburb
206266,1,95,7,5,suburb
206273,0,70,2,,city
206280,0,90,1,4,suburb
206303,0,80,2,3,city
206327,1,100,5,4,suburb
206334,,,3,7,
206341,0,85,5,4,small town
206358,0,50,3,7,city
206365,0,90,6,3,small town
206372,0,85,7,2,small town
206389,0,85,1,6,city
206396,0,85,7,3,rural
206402,1,100,1,,rural
206419,0,85,2,5,small town
206426,0,100,7,3,suburb
206433,1,70,5,5,city
206440,1,50,4,6,rural
206457,1,100,2,6,small town
206464,0,100,3,4,rural
206471,0,90,7,6,suburb
