CASEID,hunt_fish,scientists,education,ideology,urbanrural
226345,0,85,2,,small town
226352,0,80,7,2,suburb
226376,1,100,7,1,suburb
226383,,,4,6,
226406,0,90,6,6,rural
226413,0,60,7,6,city
226437,0,85,5,6,city
226444,0,85,6,4,city
226451,0,50,4,4,small town
226482,0,85,3,4,suburb
226499,0,60,8,6,city
226505,0,70,6,6,suburb
226512,0,99,4,4,rural
226529,0,70,2,6,small town
226536,0,85,1,6,suburb
226543,0,60,2,,city
226550,1,85,5,4,city
226567,0,50,2,6,rural
226581,1,70,1,,rural
226604,1,100,6,4,suburb
226611,1,85,3,3,small town
226628,0,50,3,6,suburb
226635,0,85,3,1,city
226642,1,70,3,3,suburb
226659,0,100,8,2,city
226666,0,85,6,1,small town
226680,1,100,2,4,small town
226697,1,85,3,7,rural
226703,1,85,4,5,small town
226710,0,85,,3,rural
226727,1,70,6,6,suburb
226734,1,65,2,4,city
226741,1,100,8,5,rural
226758,0,85,2,,suburb
226765,1,60,6,5,suburb
226772,1,100,3,3,suburb
226789,0,100,6,5,suburb
226796,1,50,2,4,rural
226802,1,85,1,7,small town
226819,0,85,7,6,small town
226826,1,70,3,5,rural
226840,0,85,3,4,small town
226857,1,100,3,4,rural
226864,0,5,5,7,rural
226871,0,70,3,4,small town
226895,0,85,4,2,city
226901,0,85,4,3,small town
226918,0,100,5,2,city
226925,0,90,7,5,small town
226956,0,50,3,5,city
226963,0,50,7,6,city
226970,0,99,5,2,small town
226987,0,100,3,,suburb
227010,0,100,6,1,city
227027,0,85,6,1,suburb
227034,0,90,,6,rural
227058,0,60,6,3,suburb
227065,0,80,7,4,suburb
227072,1,50,4,,small town
227096,0,85,6,,city
227102,0,60,6,4,suburb
227119,0,50,8,5,small town
227126,0,70,4,3,suburb
227133,0,95,6,1,city
227157,1,85,,6,rural
227164,0,60,2,4,city
227171,0,100,2,4,city
227188,0,70,7,3,city
227195,1,60,3,6,suburb
227201,1,100,3,3,rural
227232,0,30,8,6,small town
227249,0,100,7,6,suburb
227256,0,70,7,3,city
227263,1,50,3,,city
227270,1,85,4,5,small town
227287,0,50,2,,suburb
227294,,,3,6,
227300,0,60,6,7,rural
227324,1,50,6,5,suburb
227331,0,60,3,4,small town
227348,1,60,2,6,suburb
227355,1,70,2,6,small town
227362,0,85,7,2,city
227393,0,90,6,1,city
227409,1,90,4,6,rural
227423,0,85,8,1,small town
227430,0,85,1,,rural
227447,0,85,6,3,suburb
227478,0,70,2,5,small town
227485,0,75,5,2,small town
227515,0,85,3,6,small town
227522,0,100,6,1,suburb
227539,0,60,2,4,rural
227546,0,,3,2,suburb
227577,0,70,2,4,small town
227607,0,50,6,7,suburb
227614,0,95,3,5,small town
227621,1,30,6,,rural
227645,1,100,2,,rural
227652,0,85,7,2,small town
227669,0,70,6,3,suburb
227676,0,85,7,4,small town
227683,0,75,6,1,city
227690,0,100,5,6,suburb
227706,1,50,2,2,rural
227720,0,100,3,3,small town
227737,1,40,8,4,suburb
227744,0,85,3,2,suburb
227751,0,70,3,6,small town
227775,,,3,,
227782,0,85,2,2,city
227805,1,50,4,6,suburb
227812,0,95,3,,suburb
227829,,,6,,
227836,1,80,7,,small town
227843,0,85,1,,rural
227850,0,100,6,2,small town
227867,0,100,6,,small town
227881,0,85,3,5,city
227898,0,85,6,4,city
227904,0,75,5,6,city
227911,1,85,3,3,city
227928,0,100,6,2,small town
227935,0,100,7,2,city
227942,0,85,2,4,rural
227959,0,80,6,6,city
227966,0,100,4,2,rural
227973,0,85,3,2,suburb
227980,1,50,2,5,city
227997,0,85,3,6,suburb
228006,0,70,3,5,suburb
228013,0,50,3,5,rural
228020,0,85,7,2,suburb
228037,0,85,8,5,city
228044,0,100,7,1,suburb
228051,0,100,6,2,city
228068,1,50,3,7,suburb
228075,0,85,8,4,rural
228082,0,0,1,,city
228099,0,50,7,4,small town
228112,1,85,6,4,small town
228129,0,100,6,1,small town
228136,0,100,6,2,city
228143,1,90,6,4,rural
228150,0,60,4,7,small town
228167,0,100,2,2,suburb
228181,0,50,5,6,city
228198,0,85,1,2,city
228204,0,100,,,city
228211,0,100,1,,small town
228228,0,85,4,4,small town
228242,0,80,3,7,suburb
228259,1,80,6,6,rural
228266,1,85,8,3,city
228280,0,70,6,3,small town
228297,1,100,7,4,city
228303,1,70,4,6,city
228327,0,95,5,2,suburb
228334,0,85,6,4,suburb
228341,0,50,5,7,suburb
228358,0,70,6,,city
228365,,,1,5,
228372,0,80,7,4,suburb
228389,0,60,2,6,suburb
228396,1,100,4,4,suburb
228402,0,85,6,5,suburb
228419,0,100,4,4,small town
228457,1,0,2,7,rural
228471,1,50,7,6,rural
228495,0,100,6,4,suburb
228501,0,100,7,2,small town
228525,0,50,7,3,rural
228532,0,80,3,2,suburb
228549,,,3,6,
228556,0,98,7,4,suburb
228563,1,85,2,4,small town
228587,0,85,1,1,small town
228594,1,100,6,6,rural
228600,1,100,7,7,rural
228617,0,100,5,4,small town
228624,0,60,6,3,suburb
228648,1,100,3,6,rural
228662,0,85,8,6,suburb
228679,,,2,6,
228686,0,70,3,3,small town
228693,1,50,2,6,suburb
228709,0,95,8,1,suburb
228716,0,40,7,6,city
228723,0,100,1,,rural
228730,1,70,2,4,rural
228747,1,85,3,,small town
228754,1,70,3,6,small town
228761,0,70,6,6,suburb
228785,1,55,4,7,suburb
228792,1,100,4,2,small town
228808,1,60,6,4,small town
228815,0,100,6,3,suburb
228822,0,85,6,3,suburb
228839,0,100,2,1,city
228853,0,70,6,6,small town
228860,,,5,3,
228877,0,50,2,4,small town
228884,1,40,3,4,rural
228907,,60,,4,city
228914,1,60,2,3,city
228921,0,55,5,6,rural
228938,,,3,,
228945,0,50,6,6,suburb
228969,0,100,4,2,suburb
228983,0,70,6,7,small town
228990,0,85,7,4,city
229016,0,70,3,6,small town
229030,0,100,7,4,suburb
229047,0,85,3,6,suburb
229054,,50,,,
229061,0,85,7,3,suburb
229078,0,100,7,3,suburb
229085,0,100,6,1,city
229092,1,100,2,6,small town
229115,0,70,6,4,city
229139,0,70,8,6,small town
229146,,,7,6,
229153,,,4,7,
229160,1,100,1,4,small town
229177,0,50,3,,city
229184,1,85,2,7,small town
229207,0,85,3,1,city
229221,,,7,1,
229238,0,50,7,6,small town
229245,0,85,6,2,suburb
229269,1,50,3,4,city
229276,0,85,2,,small town
229283,0,100,7,2,suburb
229290,1,70,2,,rural
229306,0,65,6,6,suburb
229313,0,60,2,,small town
229337,0,95,3,2,city
229368,0,85,2,3,city
229382,0,50,2,6,rural
229399,1,90,5,6,city
229405,1,50,6,6,small town
229412,0,85,6,7,city
229429,1,70,3,,city
229436,0,60,3,6,small town
229443,1,85,4,4,small town
229450,0,100,2,,small town
229467,0,100,6,4,rural
229474,0,85,6,4,suburb
229481,0,75,,4,city
229498,1,50,6,6,small town
229542,0,100,6,1,suburb
229559,1,30,3,6,rural
229566,0,85,7,7,city
229573,0,60,5,5,city
229597,0,100,6,5,small town
229603,,,6,5,
229610,0,100,1,4,city
229627,0,50,6,7,suburb
229634,0,85,6,4,suburb
229641,1,70,4,6,rural
229658,1,60,3,6,suburb
229665,1,88,2,,small town
229672,0,50,1,,small town
229689,0,100,7,4,city
229696,1,50,7,4,small town
229719,0,70,4,,small town
229726,0,100,4,4,rural
229733,1,100,2,7,rural
229740,,10,2,4,
229757,1,70,6,4,small town
229764,0,100,5,2,small town
229771,1,100,6,4,small town
229788,0,85,4,2,city
229818,0,85,3,5,suburb
229825,0,60,3,6,rural
229832,0,85,7,4,suburb
229849,0,85,6,5,small town
229856,0,85,6,3,city
229863,0,70,1,5,city
229870,0,100,6,2,rural
229887,0,0,2,,suburb
229894,0,60,6,6,small town
229917,1,70,3,5,rural
229924,0,60,7,6,suburb
229931,0,85,3,,small town
229955,0,70,7,5,small town
229962,0,50,2,1,small town
229979,1,100,6,2,suburb
229986,0,85,1,4,small town
229993,0,100,7,2,city
230023,,,3,7,
230030,0,70,6,7,rural
230047,0,50,6,7,city
230054,0,0,4,7,small town
230061,,50,,,small town
230078,1,85,2,4,small town
230092,1,70,5,4,suburb
230108,0,100,2,1,city
230115,1,50,5,4,rural
230146,0,85,2,,small town
230153,0,80,2,,small town
230177,1,66,6,6,small town
230184,0,100,8,3,small town
230191,0,90,6,3,small town
230214,0,100,1,1,city
230238,0,70,4,7,city
230269,1,40,6,4,suburb
230276,1,70,1,4,rural
230283,0,100,7,4,suburb
230306,0,100,3,6,small town
230320,,,3,5,
230337,0,100,2,5,city
230351,0,90,6,3,suburb
230375,0,85,7,2,city
230382,1,100,6,4,rural
230399,0,70,3,3,suburb
230405,,70,7,2,suburb
230436,0,70,6,4,small town
230443,0,50,7,5,suburb
230467,0,85,6,4,small town
230474,0,100,8,3,city
230498,0,50,6,4,small town
230504,0,100,2,,small town
230511,,,1,3,
230528,0,85,6,2,suburb
230535,0,85,6,3,suburb
230542,0,100,4,1,suburb
230566,0,50,7,6,rural
230580,0,50,2,7,rural
230634,1,50,4,6,city
230641,1,50,4,4,rural
230658,0,100,8,4,city
230665,0,51,4,6,city
230672,0,85,7,2,small town
230689,1,80,2,,suburb
230702,0,85,2,,small town
230726,1,85,3,4,rural
230740,0,60,7,2,small town
230757,1,100,3,4,rural
230771,,,2,,
230788,0,60,6,5,small town
230795,0,50,6,4,small town
230801,,,5,,
230825,0,100,6,5,city
230832,0,85,2,3,city
230849,0,70,7,6,city
230870,0,100,8,2,small town
230887,0,70,6,6,small town
230894,0,100,6,2,city
230900,1,85,3,3,small town
230917,1,88,2,,small town
230924,1,50,3,5,suburb
230931,1,60,3,,small town
230955,0,85,7,5,city
230962,0,100,3,4,suburb
230979,1,100,3,4,city
230986,0,85,2,4,rural
231002,0,85,2,4,city
231019,0,75,7,2,rural
231026,0,50,5,6,suburb
231033,0,80,7,5,city
231040,0,50,2,7,rural
231057,1,70,6,2,city
231064,1,100,7,6,city
231071,0,40,2,7,small town
231088,0,50,6,6,small town
231095,1,85,3,2,suburb
231118,1,70,2,7,small town
231149,0,85,4,,city
231194,0,60,8,7,small town
231200,0,100,8,3,rural
231217,,,6,4,
231224,0,100,6,2,city
231231,0,70,8,,small town
231255,0,50,2,,city
231262,0,50,4,6,rural
231279,,,7,2,
231286,,,4,3,
231293,0,70,2,6,suburb
231309,1,60,2,5,city
231323,1,40,1,4,small town
231347,0,100,,6,small town
231354,0,100,6,2,city
231361,0,50,3,5,suburb
231378,0,100,7,4,suburb
231385,0,85,6,3,small town
231392,0,100,6,4,city
231408,0,95,6,3,suburb
231415,0,85,2,4,small town
231422,0,50,7,2,city
231439,1,100,2,,city
231446,0,100,6,2,suburb
231453,0,70,6,5,small town
231460,1,100,6,4,city
231484,0,100,6,1,city
231491,1,85,6,,suburb
231507,0,70,3,6,small town
231514,1,100,7,5,city
231552,1,100,4,4,rural
231569,0,70,2,3,rural
231576,0,100,2,2,city
231583,0,100,6,2,suburb
231590,0,100,6,1,city
231606,0,15,6,6,small town
231613,1,100,3,2,city
231620,0,85,3,4,suburb
231651,0,100,6,4,small town
231668,0,100,7,4,suburb
231675,0,65,4,3,city
231682,1,60,4,3,city
231699,0,95,7,4,suburb
231705,1,60,6,6,suburb
231712,0,85,3,4,rural
231729,0,85,3,,rural
231736,0,85,3,4,suburb
231743,1,80,4,,small town
231750,,,3,1,
231767,1,60,4,4,small town
231774,0,95,6,2,rural
231781,0,50,6,2,suburb
231798,0,85,4,4,rural
231804,0,50,6,6,suburb
231811,0,85,6,2,suburb
231835,0,100,7,2,city
231842,0,85,3,4,city
231859,0,60,6,3,suburb
231866,0,85,2,,city
231880,0,100,2,6,city
231897,0,50,3,4,small town
231903,1,50,6,6,rural
231910,,,7,6,
231927,0,100,6,3,suburb
231941,0,100,8,4,suburb
231958,0,60,5,,city
231965,1,50,3,6,rural
231972,1,60,3,4,small town
231989,1,85,3,3,small town
231996,1,50,1,3,suburb
232005,0,85,2,4,suburb
232036,0,100,7,1,small town
232043,0,50,3,6,small town
232050,0,100,4,3,suburb
232067,0,65,5,3,suburb
232074,0,50,6,6,small town
232098,0,80,3,4,small town
232111,0,100,7,1,city
232128,0,90,6,1,city
232142,1,50,5,6,city
232159,0,100,8,2,city
232180,1,50,3,4,city
232197,0,75,8,4,city
232210,1,90,4,4,city
232227,0,100,2,1,city
232234,1,65,3,6,small town
232241,0,100,6,6,small town
232258,0,85,6,2,city
232272,1,75,1,4,city
232289,0,100,8,2,city
232296,0,100,6,4,small town
232302,0,85,7,3,suburb
232326,0,80,8,6,suburb
232333,0,90,6,2,rural
232340,0,70,6,6,suburb
232357,,,6,,
232364,0,50,4,6,suburb
232371,1,100,2,6,suburb
232395,0,70,7,5,suburb
232418,1,100,2,,city
232425,1,70,3,4,small town
232432,0,100,1,1,suburb
232449,0,100,6,6,city
232456,1,85,7,6,suburb
232463,0,70,7,2,suburb
232487,0,90,7,2,rural
232494,1,90,8,6,city
232517,0,70,2,5,city
232524,1,85,3,4,small town
232531,,,6,2,
232548,0,70,6,6,city
232555,1,100,3,4,suburb
232579,,,7,4,
232586,0,85,2,,city
232593,0,50,3,7,rural
232609,0,100,8,2,city
232616,0,85,6,6,small town
232623,0,70,6,4,suburb
232630,0,100,3,3,suburb
232647,0,,7,,city
232654,0,85,2,6,city
232661,0,100,2,,suburb
232678,1,85,2,4,small town
232685,0,60,7,6,small town
232692,1,100,7,1,city
232715,0,100,4,2,small town
232722,0,85,4,5,small town
232746,0,60,3,5,suburb
232753,0,70,6,4,city
232760,0,65,2,,city
232784,0,85,3,4,city
232791,1,80,7,,rural
232814,0,90,6,6,city
232821,0,100,5,4,small town
232852,0,50,7,7,small town
232869,1,70,7,5,suburb
232890,0,50,2,4,city
232906,0,100,7,2,city
232913,0,100,5,5,rural
232920,0,100,3,4,small town
232937,0,100,3,,city
232951,1,100,3,,small town
232968,0,85,5,3,small town
232975,0,100,3,4,small town
232982,0,100,5,1,small town
232999,0,100,2,5,small town
233008,0,40,3,6,city
233015,0,95,6,,city
233022,0,30,5,7,suburb
233046,0,70,2,3,rural
233053,0,95,7,2,city
233084,0,70,3,2,suburb
233091,1,40,2,6,small town
233107,0,85,4,4,small town
233114,,,3,3,
233121,1,100,6,5,small town
233138,0,85,6,6,city
233145,0,85,3,3,suburb
233152,0,85,4,6,city
233169,1,50,4,,rural
233183,0,60,7,7,rural
233206,0,100,6,5,city
233213,0,100,7,4,suburb
233220,0,85,2,6,suburb
233237,0,100,,2,rural
233244,0,60,4,6,city
233251,,,5,3,
233268,0,50,3,6,rural
233275,0,84,6,4,small town
233299,0,100,6,4,suburb
233305,1,100,7,2,small town
233312,0,50,3,6,small town
233329,0,85,6,2,city
233336,0,70,3,,suburb
233343,0,60,6,4,rural
233374,1,85,7,5,suburb
233381,0,100,6,6,suburb
233398,1,70,7,4,suburb
233428,0,96,6,1,city
233435,0,85,6,4,small town
233442,0,85,6,2,small town
233459,0,70,6,6,suburb
233466,1,100,5,6,small town
233480,0,100,7,5,suburb
233497,0,50,6,7,rural
233503,0,100,6,2,city
233510,0,70,2,5,city
233534,1,70,6,4,small town
233541,1,85,5,,city
233565,0,85,3,2,city
233596,0,85,4,6,city
233602,1,70,6,5,small town
233619,0,70,4,,city
233626,0,80,7,6,small town
233633,0,85,8,2,city
233640,0,100,5,2,city
233657,0,50,4,6,suburb
233664,0,50,2,6,city
233671,0,70,3,4,suburb
233688,1,85,6,5,rural
233695,1,70,3,6,rural
233718,0,70,7,4,city
233725,0,100,7,2,city
233732,0,60,7,5,suburb
233749,0,100,6,1,suburb
233756,0,100,6,1,suburb
233770,0,70,7,3,suburb
233787,0,60,4,4,city
233800,0,85,2,,suburb
233817,1,80,1,4,small town
233824,0,100,2,2,rural
233831,0,85,5,6,small town
233848,0,85,6,6,suburb
233886,1,95,4,3,suburb
233893,1,95,7,2,rural
233916,1,70,3,4,city
233923,0,100,5,,small town
233947,0,60,4,4,rural
233954,0,50,3,5,suburb
233985,0,100,,1,city
233992,0,70,3,5,suburb
234001,0,80,5,2,suburb
234018,0,100,6,2,suburb
234025,1,100,1,3,city
234032,,100,2,4,
234056,0,50,1,7,city
234063,0,50,6,4,city
234070,0,85,7,6,city
234087,0,70,3,6,rural
234094,0,70,2,,city
234100,0,100,7,2,city
234117,0,100,7,1,city
234124,0,50,2,6,small town
234131,0,100,6,,suburb
234155,0,85,6,4,city
234179,0,90,6,2,city
234186,0,90,6,2,suburb
234193,0,70,3,5,suburb
234209,,,2,6,
234216,0,85,3,6,small town
234223,0,85,5,4,suburb
234230,,,6,4,
234247,0,100,6,2,city
234254,0,100,3,4,suburb
234261,,,6,5,
234278,1,100,4,6,rural
234285,0,70,6,6,small town
234292,0,100,7,2,city
234308,0,100,3,5,city
234339,0,60,2,6,suburb
234346,0,100,6,2,suburb
234360,0,100,2,4,city
234377,0,60,2,,rural
234407,0,70,6,,small town
234414,0,60,4,7,small town
234438,0,70,6,4,suburb
234452,0,70,6,6,suburb
234469,0,80,6,5,suburb
234476,1,80,5,3,suburb
234483,0,70,7,5,small town
234490,1,100,6,5,suburb
234506,0,85,8,5,suburb
234513,1,50,5,6,rural
234520,0,100,7,4,small town
234537,,,2,3,
234544,0,70,7,4,suburb
234551,0,50,4,7,small town
234568,1,100,4,2,city
234582,,,2,5,
234599,0,75,5,2,suburb
234605,,,8,6,
234612,0,95,4,4,suburb
234629,1,50,7,7,suburb
234636,0,100,6,1,city
234643,0,90,2,3,suburb
234667,0,60,4,2,city
234674,0,60,2,4,small town
234681,0,80,4,6,suburb
234698,0,95,7,2,suburb
234704,0,100,2,,small town
234728,0,70,3,5,rural
234735,0,80,4,,rural
234742,0,70,6,2,city
234759,0,85,4,4,small town
234766,1,70,8,6,suburb
234773,0,85,7,4,suburb
234780,0,40,8,4,suburb
234797,0,70,3,1,city
234803,1,50,4,4,small town
234810,0,70,3,4,city
234827,0,50,4,,small town
234841,0,50,3,6,city
234858,1,50,6,6,rural
234896,0,100,5,3,city
234902,1,60,2,6,suburb
234919,0,85,8,2,city
234926,1,100,2,4,rural
234933,0,64,3,4,city
234940,1,60,3,3,city
234957,1,90,3,,small town
234971,1,100,3,4,small town
234988,0,100,5,2,city
234995,0,85,6,1,city
235004,,100,6,3,city
235011,0,70,6,6,rural
235028,0,90,6,4,suburb
235035,,100,7,4,rural
235042,1,100,7,3,suburb
235059,0,70,5,6,suburb
235080,1,85,3,6,suburb
235097,1,100,7,2,rural
235127,0,100,3,2,small town
235134,0,40,7,7,suburb
235141,0,50,3,3,city
235158,0,70,7,4,suburb
235165,0,100,7,6,suburb
235189,1,85,5,3,rural
235219,0,70,4,,small town
235226,0,60,6,3,suburb
235233,0,85,7,4,city
235240,0,60,5,6,suburb
235271,0,100,6,,city
235288,0,85,3,4,city
235295,0,100,5,1,city
235318,0,70,5,6,suburb
235325,0,50,3,4,small town
235349,0,50,3,,small town
235356,1,50,6,,suburb
235363,0,100,7,2,city
235387,0,100,3,2,suburb
235394,1,85,5,4,city
235400,0,100,7,1,city
235417,0,100,6,2,suburb
235462,0,60,5,5,small town
235479,0,100,7,2,city
235486,0,70,3,6,small town
235493,1,100,2,4,rural
235509,0,50,2,7,rural
235516,1,80,6,7,suburb
235523,0,60,2,6,city
235530,0,100,6,2,city
235547,0,85,3,4,city
235554,1,85,4,4,city
235561,0,100,6,3,suburb
235578,0,70,7,4,rural
235585,0,100,4,4,suburb
235608,1,85,5,6,suburb
235615,1,100,8,1,suburb
235622,0,60,6,6,rural
235653,0,100,2,3,rural
235660,0,60,5,4,suburb
235677,0,100,6,5,small town
235684,0,70,7,,city
235691,0,100,6,4,city
235707,0,70,1,7,city
235714,0,50,3,7,rural
235721,0,100,7,2,small town
235738,,,3,3,
235752,0,85,2,4,suburb
235769,0,70,5,6,city
235783,0,100,6,4,suburb
235790,0,100,6,3,rural
235806,,,6,6,
235820,0,60,4,,small town
235837,0,85,1,3,city
235868,1,70,2,1,suburb
235875,1,80,6,4,suburb
235899,0,85,4,,rural
235905,0,100,7,2,suburb
235912,0,85,7,4,suburb
235929,1,70,6,,suburb
235936,1,90,2,4,city
235943,0,85,6,6,suburb
235974,0,100,4,6,small town
235981,1,85,8,4,rural
235998,0,70,3,5,small town
236007,0,100,4,2,suburb
236014,0,50,7,7,city
236021,,,3,4,
236045,0,100,2,5,rural
236076,0,85,3,4,rural
236083,0,70,4,6,suburb
236090,0,50,6,6,suburb
236106,1,70,4,6,suburb
236113,1,60,1,7,suburb
236120,0,85,7,3,suburb
236144,0,80,6,4,rural
236151,,,7,2,
236168,,,6,6,
236175,1,85,8,6,small town
236205,1,50,4,6,small town
236212,0,70,3,6,city
236229,0,85,6,4,suburb
236236,1,100,2,5,small town
236250,0,100,1,4,rural
236274,0,95,6,2,city
236281,0,60,7,3,suburb
236298,0,50,2,7,suburb
236304,0,85,2,,rural
236311,1,70,8,5,rural
236328,0,100,5,6,small town
236342,0,100,,6,small town
236359,0,100,1,6,small town
236366,0,100,3,2,small town
236373,0,90,6,5,suburb
236380,1,90,7,5,rural
236397,0,95,8,4,city
236403,,,7,2,
236427,1,100,2,,small town
236434,0,85,6,4,city
236458,0,75,3,5,city
236465,,,3,2,
300038,1,100,2,5,city
300076,,,3,4,
300083,1,50,6,7,rural
300106,0,85,3,5,city
300113,0,70,3,1,suburb
300137,0,85,6,3,city
300144,0,50,2,4,rural
300168,0,90,6,2,suburb
300212,0,50,2,,small town
300229,1,85,6,4,rural
300281,0,85,6,3,city
300298,1,100,6,3,city
300311,0,85,7,4,suburb
300373,0,85,6,6,suburb
300397,1,100,6,3,city
300403,0,60,5,5,suburb
300458,0,60,2,5,suburb
300502,0,85,3,6,small town
300526,1,50,3,5,city
300533,0,85,7,4,city
300540,0,100,1,,small town
300618,,,7,,
300632,1,100,6,4,small town
300656,0,85,3,4,rural
300663,1,70,3,6,rural
300687,0,60,6,,city
300717,0,50,1,,city
300731,1,50,3,7,rural
300755,0,100,3,,small town
300823,,,6,6,
300847,0,70,4,6,city
300861,1,85,2,3,small town
300892,1,100,2,4,small town
300908,1,100,,1,city
300915,0,85,6,2,suburb
300946,0,50,5,3,city
300960,0,88,6,2,small town
301000,0,50,3,6,city
301017,,,2,5,
301024,,100,2,6,small town
301086,0,100,5,5,suburb
301093,0,5,1,,city
301130,0,100,6,4,small town
301147,0,100,,3,suburb
301192,1,85,4,,rural
301215,0,100,3,1,small town
301253,0,90,3,,suburb
301284,0,50,3,,city
301307,0,100,4,,city
301321,0,85,,4,city
301369,0,85,7,6,rural
301376,1,100,3,2,city
301413,0,95,6,1,city
301451,0,85,2,6,small town
301475,0,70,,6,small town
301581,1,100,2,,rural
301604,1,85,7,6,rural
301611,0,90,8,2,city
301659,0,100,6,4,suburb
301666,,,7,4,
301680,0,100,7,2,city
301697,,,5,6,
301710,0,100,6,1,city
301741,,,4,4,
301758,0,90,7,2,suburb
301802,0,100,7,2,suburb
301833,1,80,6,4,city
301840,,,2,2,
301895,,,4,4,
301918,0,60,4,4,small town
301987,1,100,6,2,rural
302003,0,100,7,3,city
302027,,,7,2,
302041,0,85,4,,suburb
302140,0,85,6,4,suburb
302157,,,6,6,
302225,0,90,7,3,city
302270,0,50,2,,suburb
302317,0,85,7,1,city
302324,0,50,2,,suburb
302386,0,100,7,,suburb
302416,1,20,7,7,small town
302430,1,50,4,4,suburb
302454,1,85,4,5,suburb
302515,0,100,5,7,small town
302522,0,75,2,,city
302539,1,60,7,7,rural
302546,,,2,6,
302607,0,50,6,6,small town
302669,0,100,6,4,city
302676,0,85,2,3,small town
302690,1,70,4,4,suburb
302706,0,85,2,4,small town
302799,,,2,5,
302812,1,85,2,,rural
302829,0,60,2,6,small town
302850,0,70,8,5,suburb
302867,1,60,2,6,rural
302898,0,90,6,6,city
302904,1,50,6,6,rural
302911,,,2,7,
302928,0,80,4,3,small town
302973,0,100,6,3,suburb
303013,0,100,7,2,city
303037,0,85,2,4,suburb
303051,0,50,2,4,small town
303136,0,70,2,,rural
303242,0,85,3,6,suburb
303303,0,100,8,2,city
303310,0,100,5,4,city
303327,0,100,1,,city
303365,,,2,6,
303402,0,95,6,2,small town
303426,0,95,3,3,suburb
303457,0,100,3,,small town
303532,0,100,7,1,suburb
303563,0,70,2,,small town
303624,0,100,2,3,city
303679,,,2,6,
303693,0,80,3,4,rural
303747,0,85,5,4,suburb
303792,1,85,2,6,rural
303808,0,55,2,4,city
303815,0,100,8,4,small town
303822,1,85,6,6,small town
303853,0,100,6,4,city
303877,0,90,7,2,city
303884,0,70,4,4,city
303891,0,60,6,4,suburb
303907,0,100,6,1,city
303952,1,85,3,4,city
303976,0,85,7,6,suburb
304009,0,90,4,2,small town
304054,1,100,3,3,small town
304078,,,6,4,
304092,0,100,5,2,rural
304153,0,85,3,4,suburb
304184,0,70,3,6,city
304214,1,50,2,5,suburb
304238,0,100,6,4,suburb
304269,0,70,7,2,city
304276,0,50,7,7,suburb
304290,0,70,3,7,rural
304306,0,85,5,5,city
304382,0,85,2,2,small town
304412,0,85,3,4,small town
304436,0,100,3,4,suburb
304504,0,90,8,1,city
304559,1,60,2,4,city
304603,1,70,2,6,small town
304658,1,100,1,4,suburb
304665,,,6,2,
304719,0,100,5,2,suburb
304740,0,90,6,3,city
304757,0,50,2,,rural
304795,0,85,2,5,small town
304801,,,2,6,
304825,0,60,3,4,small town
304832,0,0,,,suburb
304863,0,85,2,4,city
304887,0,100,6,1,city
304900,0,85,7,4,city
304931,0,85,6,4,suburb
304979,0,90,2,2,suburb
304986,1,100,,2,suburb
305040,0,100,3,4,city
305057,1,85,3,3,city
305071,0,,,,rural
305095,0,50,5,5,suburb
305149,0,90,6,2,suburb
305187,1,40,2,7,city
305217,0,100,3,,city
305231,0,85,3,4,city
305293,1,85,8,4,small town
305330,1,100,8,6,small town
305347,1,85,4,6,rural
305378,0,100,6,2,suburb
305385,0,100,6,1,city
305446,1,60,6,5,small town
305460,0,100,7,3,small town
305491,0,70,3,3,small town
305521,0,70,2,5,small town
305545,0,50,3,,city
305613,0,100,1,5,suburb
305637,,,6,3,
305644,0,90,6,5,suburb
305651,0,100,8,2,city
305668,0,50,1,6,rural
305712,0,60,6,6,rural
305729,1,60,6,3,suburb
305767,0,85,7,2,suburb
305774,1,85,3,4,suburb
305798,,,2,1,
305804,0,100,1,4,city
305897,,,5,6,
305927,0,85,5,,small town
305934,0,60,3,6,small town
305972,1,50,6,7,suburb
305996,0,50,4,3,city
306067,0,70,6,,suburb
306142,0,85,6,,city
306159,0,80,7,5,small town
306203,0,85,7,2,suburb
306210,,,,,
306272,,50,5,,city
306302,0,100,2,4,rural
306357,0,70,6,5,rural
306395,0,100,6,2,city
306418,0,100,2,4,small town
306456,0,85,6,4,small town
306548,0,90,8,4,suburb
306562,0,50,1,4,city
306586,0,100,6,3,city
306647,1,60,2,4,small town
306685,,,6,3,
306777,0,100,8,1,suburb
306791,1,60,3,2,rural
306852,0,70,6,3,city
306869,0,85,3,6,small town
306883,0,85,6,4,suburb
306975,0,85,6,6,city
306982,0,100,8,2,city
306999,1,100,3,4,small town
307015,1,70,5,5,suburb
307039,0,100,3,4,suburb
307114,0,100,7,4,suburb
307121,0,100,7,2,suburb
307169,0,85,6,3,small town
307176,0,90,2,5,suburb
307190,0,85,3,,city
307206,0,100,7,3,city
307213,0,50,4,5,rural
307237,0,100,7,1,suburb
307251,0,75,3,,suburb
307268,0,90,7,6,suburb
307275,0,50,4,6,small town
307282,,,6,1,
307305,0,85,7,3,suburb
307336,0,50,7,3,suburb
307404,1,90,7,2,small town
307435,0,85,6,4,suburb
307466,0,85,,6,city
307510,0,100,3,,suburb
307534,0,90,8,,city
307589,,,3,6,
307602,0,85,6,,suburb
307626,0,100,3,4,suburb
307640,0,70,6,3,small town
